diputado_id,diputado_apellido,diputado_nombre,diputado_genero,diputado_distrito,mandato_inicio,mandato_fin,diputado_juramento,diputado_cese,diputado_bloque,bloque_inicio,bloque_fin
HCDN2335,DOMINGUEZ,RAMON ALFREDO,M,SAN LUIS,2013-12-10T00:00:00,2017-12-09T00:00:00,2017-07-05T00:00:00,2017-12-09T00:00:00,COMPROMISO FEDERAL,2017-07-05T00:00:00,2017-12-09T00:00:00
HCDN1483,DOÑATE,CLAUDIO MARTIN,M,RIO NEGRO,2015-12-10T00:00:00,2019-12-09T00:00:00,2015-12-04T00:00:00,2019-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2015-12-10T00:00:00,2019-12-09T00:00:00
HCDN1073,DONDA PEREZ,VICTORIA ANALIA,F,BUENOS AIRES,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-19T00:00:00,2011-12-09T00:00:00,ENCUENTRO POPULAR,2007-12-10T00:00:00,2007-12-25T00:00:00
HCDN1073,DONDA PEREZ,VICTORIA ANALIA,F,BUENOS AIRES,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-19T00:00:00,2011-12-09T00:00:00,ENCUENTRO POPULAR Y SOCIAL,2007-12-26T00:00:00,2009-12-09T00:00:00
HCDN1073,DONDA PEREZ,VICTORIA ANALIA,F,BUENOS AIRES,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-19T00:00:00,2011-12-09T00:00:00,LIBRES DEL SUR,2009-12-10T00:00:00,2011-12-09T00:00:00
HCDN1073,DONDA PEREZ,VICTORIA ANALIA,F,BUENOS AIRES,2011-12-10T00:00:00,2015-12-09T00:00:00,2011-12-06T00:00:00,2015-12-09T00:00:00,LIBRES DEL SUR,2011-12-10T00:00:00,2015-12-09T00:00:00
HCDN1073,DONDA PEREZ,VICTORIA ANALIA,F,CIUDAD DE BUENOS AIRES,2015-12-10T00:00:00,2019-12-09T00:00:00,2015-12-04T00:00:00,2019-12-09T00:00:00,LIBRES DEL SUR,2015-12-10T00:00:00,2018-10-29T00:00:00
HCDN1073,DONDA PEREZ,VICTORIA ANALIA,F,CIUDAD DE BUENOS AIRES,2015-12-10T00:00:00,2019-12-09T00:00:00,2015-12-04T00:00:00,2019-12-09T00:00:00,SOMOS,2018-10-30T00:00:00,2019-12-09T00:00:00
HCDN1073,DONDA PEREZ,VICTORIA ANALIA,F,CIUDAD DE BUENOS AIRES,2019-12-10T00:00:00,2023-12-09T00:00:00,2019-12-04T00:00:00,2019-12-10T00:00:00,FRENTE DE TODOS,2019-12-10T00:00:00,2019-12-10T00:00:00
HCDN1228,DONKIN,CARLOS GUILLERMO,M,FORMOSA,2007-12-10T00:00:00,2011-12-09T00:00:00,2010-11-10T00:00:00,2011-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2010-11-10T00:00:00,2011-12-09T00:00:00
